Chocolate Powder,Chocolate Powder,g,2026-09-08,315.78,315.78,135.14,606.55,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
Chocolate Powder,Chocolate Powder,g,2026-09-09,315.78,315.78,134.94,607.08,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
Chocolate Powder,Chocolate Powder,g,2026-09-10,315.78,315.78,134.74,607.61,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
Chocolate Powder,Chocolate Powder,g,2026-09-11,315.78,315.78,134.54,608.14,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
Chocolate Powder,Chocolate Powder,g,2026-09-14,315.78,315.78,134.34,608.66,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
Chocolate Powder,Chocolate Powder,g,2026-09-15,315.78,315.78,134.15,609.19,"(0, 1, 1)","(0, 0, 0, 5)",2068.8,2080.93,86.22,110.78,29.95,26.91
Coffee Beans,Coffee Beans,kg,2026-09-07,0.65,0.65,0.44,1.03,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Coffee Beans,Coffee Beans,kg,2026-09-08,0.72,0.72,0.48,1.19,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Coffee Beans,Coffee Beans,kg,2026-09-09,0.7,0.7,0.47,1.15,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Coffee Beans,Coffee Beans,kg,2026-09-10,0.76,0.76,0.5,1.27,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Coffee Beans,Coffee Beans,kg,2026-09-11,0.85,0.85,0.55,1.51,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Coffee Beans,Coffee Beans,kg,2026-09-14,0.64,0.64,0.43,1.02,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Coffee Beans,Coffee Beans,kg,2026-09-15,0.72,0.72,0.48,1.19,"(0, 1, 2)","(1, 1, 1, 5)",-1815.87,-1791.77,0.11,0.14,14.69,13.85
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-07,0.96,0.96,0.33,2.05,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-08,0.95,0.95,0.32,2.04,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-09,0.95,0.95,0.32,2.03,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-10,0.94,0.94,0.32,2.03,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-11,0.94,0.94,0.32,2.02,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-14,0.94,0.94,0.32,2.02,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Cold Brew Concentrate,Cold Brew Concentrate,L,2026-09-15,0.94,0.94,0.31,2.02,"(1, 1, 2)","(0, 0, 0, 5)",-285.4,-265.2,0.38,0.47,40.93,35.35
Condensed Milk,Condensed Milk,ml,2026-09-07,171.08,171.08,59.8,355.64,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
Condensed Milk,Condensed Milk,ml,2026-09-08,201.12,201.12,73.5,409.28,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
Condensed Milk,Condensed Milk,ml,2026-09-09,173.18,173.18,50.61,390.61,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
Condensed Milk,Condensed Milk,ml,2026-09-10,183.76,183.76,46.42,440.31,"(2, 1, 0)","(1, 1, 1, 5)",2218.44,2242.55,57.89,67.32,60.52,49.87
